Trip,Date/Time,Latitude,Longitude,Type,New_Track
5327216789,01/11/2016 5:34,5.5978,-0.203,T,1
5327216789,01/11/2016 5:35,5.59755,-0.20314,T,0
5327216789,01/11/2016 5:38,5.59748,-0.20284,T,0
5327216789,01/11/2016 5:38,5.59739,-0.20267,T,0
5327216789,01/11/2016 5:39,5.59692,-0.20305,T,0
5327216789,01/11/2016 5:39,5.5962,-0.20355,T,0
5327216789,01/11/2016 5:40,5.5953,-0.20257,T,0
5327216789,01/11/2016 5:40,5.5949,-0.20203,T,0
5327216789,01/11/2016 5:40,5.59576,-0.20073,T,0
5327216789,01/11/2016 5:41,5.59527,-0.2004,T,0
5327216789,01/11/2016 5:41,5.59513,-0.20014,T,0
5327216789,01/11/2016 5:41,5.59511,-0.19982,T,0
5327216789,01/11/2016 5:41,5.59585,-0.19813,T,0
5327216789,01/11/2016 5:42,5.59647,-0.19775,T,0
5327216789,01/11/2016 5:42,5.59684,-0.1978,T,0
5327216789,01/11/2016 5:43,5.5986,-0.19662,T,0
5327216789,01/11/2016 5:43,5.5991,-0.19624,T,0
5327216789,01/11/2016 5:44,5.59802,-0.1946,T,0
5327216789,01/11/2016 5:44,5.59787,-0.19415,T,0
5327216789,01/11/2016 5:44,5.59837,-0.19372,T,0
5327216789,01/11/2016 5:44,5.59827,-0.19348,T,0
5327216789,01/11/2016 5:45,5.59644,-0.19078,T,0
5327216789,01/11/2016 5:46,5.59149,-0.18338,T,0
5327216789,01/11/2016 5:47,5.58929,-0.18227,T,0
5327216789,01/11/2016 5:47,5.58918,-0.1821,T,0
5327216789,01/11/2016 5:48,5.58769,-0.1761,T,0
5327216789,01/11/2016 5:48,5.58769,-0.1761,T,0
5327216789,01/11/2016 5:48,5.58753,-0.17596,T,0
5327216789,01/11/2016 5:48,5.58617,-0.17617,T,0
5327216789,01/11/2016 5:48,5.58605,-0.17634,T,0
5327216789,01/11/2016 5:48,5.5851,-0.1784,T,0
5327216789,01/11/2016 5:49,5.58344,-0.18062,T,0
5327216789,01/11/2016 5:49,5.57934,-0.18589,T,0
5327216789,01/11/2016 5:49,5.57927,-0.18569,T,0
5327216789,01/11/2016 5:50,5.57927,-0.1857,T,0
5327216789,01/11/2016 5:50,5.57931,-0.18573,T,0
5327311044,01/11/2016 6:10,5.57931,-0.18573,T,1
5327311044,01/11/2016 6:16,5.5791,-0.18566,T,0
5327311044,01/11/2016 6:16,5.57907,-0.18545,T,0
5327311044,01/11/2016 6:16,5.57936,-0.185,T,0
5327311044,01/11/2016 6:16,5.57953,-0.18507,T,0
5327311044,01/11/2016 6:16,5.57989,-0.18527,T,0
5327311044,01/11/2016 6:17,5.58149,-0.18316,T,0
5327311044,01/11/2016 6:17,5.5823,-0.18216,T,0
5327311044,01/11/2016 6:18,5.58623,-0.18283,T,0
5327311044,01/11/2016 6:18,5.58692,-0.18332,T,0
5327311044,01/11/2016 6:19,5.58882,-0.18199,T,0
5327311044,01/11/2016 6:19,5.59214,-0.18063,T,0
5327311044,01/11/2016 6:20,5.59682,-0.17959,T,0
5327311044,01/11/2016 6:21,5.59919,-0.17905,T,0
5327311044,01/11/2016 6:22,5.60488,-0.17777,T,0
5327311044,01/11/2016 6:23,5.61192,-0.17624,T,0
5327311044,01/11/2016 6:24,5.62046,-0.17615,T,0
5327311044,01/11/2016 6:25,5.6209,-0.17613,T,0
5327311044,01/11/2016 6:26,5.625,-0.17639,T,0
5327311044,01/11/2016 6:27,5.62852,-0.17655,T,0
5327311044,01/11/2016 6:28,5.63826,-0.17758,T,0
5327311044,01/11/2016 6:29,5.6396,-0.17782,T,0
5327311044,01/11/2016 6:30,5.64028,-0.17794,T,0
5327311044,01/11/2016 6:30,5.64165,-0.17818,T,0
5327311044,01/11/2016 6:31,5.64183,-0.17822,T,0
5327311044,01/11/2016 6:32,5.65198,-0.18031,T,0
5327311044,01/11/2016 6:32,5.65444,-0.18039,T,0
5327311044,01/11/2016 6:32,5.65943,-0.17864,T,0
5327311044,01/11/2016 6:33,5.65951,-0.17862,T,0
5327311044,01/11/2016 6:34,5.66224,-0.17805,T,0
5327311044,01/11/2016 6:35,5.66738,-0.1769,T,0
5327311044,01/11/2016 6:35,5.66755,-0.17712,T,0
5327311044,01/11/2016 6:35,5.66748,-0.17729,T,0
5327311044,01/11/2016 6:35,5.66731,-0.17763,T,0
5327311044,01/11/2016 6:35,5.66754,-0.17759,T,0
5327311044,01/11/2016 6:36,5.66739,-0.17779,T,0
5327311044,01/11/2016 6:37,5.66734,-0.18327,T,0
5327311044,01/11/2016 6:38,5.66737,-0.19013,T,0
5327311044,01/11/2016 6:39,5.66741,-0.19601,T,0
5327311044,01/11/2016 6:40,5.66745,-0.1998,T,0
5327311044,01/11/2016 6:41,5.66748,-0.20472,T,0
5327311044,01/11/2016 6:41,5.66749,-0.20524,T,0
5327311044,01/11/2016 6:42,5.66749,-0.20594,T,0
5327311044,01/11/2016 6:43,5.66754,-0.21271,T,0
5327311044,01/11/2016 6:44,5.66759,-0.21947,T,0
5327311044,01/11/2016 6:45,5.66764,-0.22732,T,0
5327311044,01/11/2016 6:46,5.66769,-0.23338,T,0
5327311044,01/11/2016 6:47,5.6677,-0.23867,T,0
5327311044,01/11/2016 6:47,5.66805,-0.23892,T,0
5327311044,01/11/2016 6:47,5.66851,-0.23885,T,0
5327311044,01/11/2016 6:48,5.66859,-0.23884,T,0
5327311044,01/11/2016 6:57,5.67176,-0.23886,T,0
5327311044,01/11/2016 6:58,5.67778,-0.23888,T,0
5327311044,01/11/2016 6:58,5.68016,-0.2399,T,0
5327311044,01/11/2016 6:58,5.68127,-0.24044,T,0
5327311044,01/11/2016 6:59,5.68215,-0.24144,T,0
5327311044,01/11/2016 7:00,5.68649,-0.24582,T,0
5327311044,01/11/2016 7:00,5.68782,-0.24673,T,0
5327311044,01/11/2016 7:01,5.6892,-0.24724,T,0
5327311044,01/11/2016 7:02,5.69084,-0.24795,T,0
5327311044,01/11/2016 7:03,5.69207,-0.24829,T,0
5327311044,01/11/2016 7:03,5.69468,-0.24864,T,0
5327311044,01/11/2016 7:04,5.69537,-0.24851,T,0
5327311044,01/11/2016 7:05,5.69554,-0.24843,T,0
5327311044,01/11/2016 7:07,5.69864,-0.24793,T,0
5327311044,01/11/2016 7:08,5.70138,-0.24728,T,0
5327311044,01/11/2016 7:09,5.70429,-0.24645,T,0
5327311044,01/11/2016 7:10,5.70772,-0.24587,T,0
5327311044,01/11/2016 7:11,5.71131,-0.24523,T,0
5327311044,01/11/2016 7:12,5.71524,-0.24447,T,0
5327311044,01/11/2016 7:13,5.71837,-0.24385,T,0
5327311044,01/11/2016 7:13,5.72046,-0.24279,T,0
5327311044,01/11/2016 7:14,5.72104,-0.24241,T,0
5327311044,01/11/2016 7:14,5.72371,-0.24146,T,0
5327311044,01/11/2016 7:15,5.72576,-0.24182,T,0
5327311044,01/11/2016 7:16,5.73036,-0.24152,T,0
5327311044,01/11/2016 7:16,5.73355,-0.24126,T,0
5327311044,01/11/2016 7:17,5.73545,-0.24021,T,0
5327311044,01/11/2016 7:18,5.7413,-0.23624,T,0
5327311044,01/11/2016 7:18,5.74443,-0.23451,T,0
5327311044,01/11/2016 7:18,5.74753,-0.23151,T,0
5327311044,01/11/2016 7:19,5.74876,-0.23111,T,0
5327311044,01/11/2016 7:20,5.75335,-0.2299,T,0
5327311044,01/11/2016 7:21,5.7574,-0.22857,T,0
5327311044,01/11/2016 7:21,5.75868,-0.22786,T,0
5327311044,01/11/2016 7:21,5.75895,-0.22734,T,0
5327311044,01/11/2016 7:22,5.7592,-0.2263,T,0
5327311044,01/11/2016 7:22,5.76058,-0.22484,T,0
5327311044,01/11/2016 7:23,5.7617,-0.22398,T,0
5327311044,01/11/2016 7:24,5.76566,-0.22118,T,0
5327311044,01/11/2016 7:24,5.76584,-0.21957,T,0
5327311044,01/11/2016 7:25,5.76479,-0.21849,T,0
5327311044,01/11/2016 7:25,5.76396,-0.21816,T,0
5327311044,01/11/2016 7:26,5.76034,-0.21982,T,0
5327311044,01/11/2016 7:26,5.7602,-0.22012,T,0
5327311044,01/11/2016 7:26,5.75975,-0.22089,T,0
5327311044,01/11/2016 7:26,5.7596,-0.22057,T,0
5327311044,01/11/2016 7:27,5.7597,-0.22049,T,0
5327311044,01/11/2016 7:28,5.76009,-0.22033,T,0
5327311044,01/11/2016 7:28,5.75986,-0.22079,T,0
5327311044,01/11/2016 7:29,5.7595,-0.22101,T,0
5327311044,01/11/2016 7:29,5.75924,-0.2211,T,0
5327311044,01/11/2016 7:29,5.75913,-0.22108,T,0
5327311044,01/11/2016 7:29,5.75914,-0.22108,T,0
5327311044,01/11/2016 7:30,5.75914,-0.22108,T,0
5327311044,01/11/2016 7:30,5.75914,-0.22108,T,0
5329348714,01/11/2016 16:07,5.75917,-0.22115,T,1
5329348714,01/11/2016 16:09,5.75898,-0.22108,T,0
5329348714,01/11/2016 16:09,5.75896,-0.22105,T,0
5329348714,01/11/2016 16:10,5.75918,-0.22109,T,0
5329348714,01/11/2016 16:10,5.75977,-0.22082,T,0
5329348714,01/11/2016 16:10,5.75963,-0.22053,T,0
5329348714,01/11/2016 16:10,5.75985,-0.22043,T,0
5329348714,01/11/2016 16:11,5.76005,-0.22033,T,0
5329532520,01/11/2016 17:09,5.76005,-0.22033,T,1
5329532520,01/11/2016 17:12,5.76019,-0.2201,T,0
5329532520,01/11/2016 17:12,5.76053,-0.21963,T,0
5329532520,01/11/2016 17:13,5.76408,-0.21813,T,0
